Thời gian,Tiêu đề,URL,Nội dung
2022-10-19 16:27:00,"Hoá chất Đức Giang (DGC) lãi hơn 4.900 tỷ đồng sau 9 tháng, gấp 4 lần cùng kỳ, vượt 50% kế hoạch lợi nhuận cả năm",https://cafef.vn/du-lieu/dgc-379178/hoa-chat-duc-giang-dgc-lai-hon-4900-ty-dong-sau-9-thang-gap-4-lan-cung-ky-vuot-50-ke-hoach-loi-nhuan-ca-nam.chn,
2022-10-18 14:39:00,DGC: Báo cáo thay đổi về sở hữu của nhóm nhà đầu tư nước ngoài có liên quan là cổ đông lớn,https://cafef.vn/du-lieu/dgc-379898/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-nha-dau-tu-nuoc-ngoai-co-lien-quan-la-co-dong-lon.chn,
2022-10-14 16:00:00,"Thị giá phục hồi từ đáy 8 tháng, Dragon Capital vừa chi hàng chục tỷ mua vào cổ phiếu DGC",https://cafef.vn/du-lieu/dgc-381299/thi-gia-phuc-hoi-tu-day-8-thang-dragon-capital-vua-chi-hang-chuc-ty-mua-vao-co-phieu-dgc.chn,
2022-10-14 11:15:00,DGC: Báo cáo thay đổi về sở hữu của nhóm NĐTNN,https://cafef.vn/du-lieu/dgc-381383/dgc-bao-cao-thay-doi-ve-so-huu-cua-nhom-ndtnn.chn,
2022-10-10 15:03:00,DGC: Giấy chứng nhận đăng ký doanh nghiệp thay đổi lần thứ 22,https://cafef.vn/du-lieu/dgc-383597/dgc-giay-chung-nhan-dang-ky-doanh-nghiep-thay-doi-lan-thu-22.chn,
2022-10-10 15:00:00,DGC: Điều lệ công ty sửa đổi,https://cafef.vn/du-lieu/dgc-383603/dgc-dieu-le-cong-ty-sua-doi.chn,
2022-10-04 10:02:00,DGC: Nhắc nhở chậm CBTT thay đổi số lượng cổ phiếu có quyền biểu quyết,https://cafef.vn/du-lieu/dgc-386336/dgc-nhac-nho-cham-cbtt-thay-doi-so-luong-co-phieu-co-quyen-bieu-quyet.chn,
2022-09-30 16:39:00,"Thị trường “quay xe” ngoạn mục, nhiều cổ phiếu bất ngờ đổi màu từ đỏ sang tím",https://cafef.vn/du-lieu/dgc-387590/thi-truong-quay-xe-ngoan-muc-nhieu-co-phieu-bat-ngo-doi-mau-tu-do-sang-tim.chn,
2022-09-29 17:06:00,DGC: Số lượng cổ phiếu có quyền biểu quyết đang lưu hành là 379.778.413 cp,https://cafef.vn/du-lieu/dgc-388136/dgc-so-luong-co-phieu-co-quyen-bieu-quyet-dang-luu-hanh-la-379778413-cp.chn,
2022-09-29 17:04:00,DGC: Đã phát hành 8.537.213 cp theo chương trình lựa chọn cho người lao động,https://cafef.vn/du-lieu/dgc-388139/dgc-da-phat-hanh-8537213-cp-theo-chuong-trinh-lua-chon-cho-nguoi-lao-dong.chn,
